Label Sentimen;cleaned_text
negatif;suka terlempar sendiri padahal jaringan sangat bagus
negatif;klo bisa update juga virtual background di hp meskipun dalqm perjalanan juga kmi dapat mengikuti zoom
negatif;aplikasi zoom sekarang gg bagus masa udh aktifkan mikrofon gg kedengaran sama yg lain tolong diperbaiki
negatif;buat zoom lite nya kalo bisa soalnya di hp saya yang ini terlalu berat untuk mengoperasikan aplikasi zoom nya kalo bisa di kurangin aplikasi nya terimakasih
positif;bagus sangat berguna
positif;dulu besok lima kalo udah bisa di manfaatkan
negatif;ketika saya sedang zoom suka tiba tiba keluar sendiri
negatif;di hp saya realme latar background tidak bisa diubah dan muncul tulisan error
positif;bisa mempermudah dan kenal banyak orang di aplikasi zoom
negatif;setelah diupdate kesulitan dalam mengubah background bahkan belum bisa mengubah background gagal terus
positif;semua okee bgts pertahankan y
netral;saya sangat terbantu dengan aplikasi zoom untuk keperluan kuliah online namun saya ingin menyarankan agar fitur background bisa lebih dimaksimalkan dan tersedia untuk semua tipe perangkat terutama di android kehadiran fitur perangkat akan sangat membantu dalam menjaga privasi dan tampilan saat sedang meeting apalagi bagi kami yang sering ikut kelas dari tempat yang kurang ideal semoga kedepannya fitur ini bisa ditambahkan atau di perluas lagi terimakasih dan sukses terus untuk tim zoom
negatif;gaa bisa daftar trs di coba ga bisaa haduh kaco emg
netral;backgroundnya banyakin ya developerr
negatif;di hp saya aplikasi zoom nya tidak muncul suara walaupun sudah di lakukan beberapa pengaturan
negatif;tidak bisa di gunakan
positif;sangat membantu bagi penggunan nyaa
negatif;apk tidak bs di download saya download selalu ke riset gajelas mengunduh selalu tetapi tidak bs ke instal
negatif;sulit d download
netral;apakah bisa memberikan solusi untuk saya sudah berulang kali instal namun gagal n informasi diminta menghapus data penyimpanan hal tsb sudah dilakukan namun tetap tidak bisa
netral;tingkatan terus kualitas aplikasi
netral;aku sangat puas dengan kegiatan ini
negatif;back ground zoom gak bisa diubah
positif;sudah sering memakai zoom sejak makin bisa diandalkan
negatif;tolong dong apk nya jgn di gedein terus kaasitas nya ngabisin ruang penyimpanan bgt
negatif;hp saya sebelumnya support ganti background tetapi akhir akhir ini tiba tiba tidak bisa background tolong solusinya
netral;semoga bisa membantu perekonomian saya
negatif;sementara bintang terlalu kurang fitur dan instalasi yg lama serta memakan ruang yg besar mohon lebih diefisienkan
negatif;sebelumnya pake zoom lancar aja sekarang malah ngga bisa sm sekali udah coba masuk ganti email juga tetep ngga bisa sampe instal ulang pun tetep ngga bisa malah alhasil sekarang ngga bisa dipake sm sekali kalo ada kelas online
positif;bagus baik tampilan video dan audio visualnya berkat tuhan menyertai dalam setiap kegiatan mpc
negatif;kenapa kok gk bisa dan berfungsi
negatif;syaa download zoom karena sekolah online sementara tapi gak bisa di download walaupun saya sudah menghapus apk lain sampe gb tetap aja gak bisa
positif;bagus suara jernih
negatif;kadang gambar blank hitam layar nya tidak bisa melihat video
positif;amat nya sangat amat sunguh nya yg paling sunguh kagum nya yg paling kagum tiada kata lg yg bs ku ucapkan kpd mu zoom sunguh adanya kau amat lah sangat membuat kehidupan menjadi ceria menjadi hidup lebih bermakna trimaksih zomm kau ada lah satu nya aplikasi yg amat teramat amatttt amaatttt ku sukai
negatif;kenapa tidak bisa didownload padahal ruangan saya banyak yang tersisa tapi selalu saat suda persen dibilang bermasalah tidak ada cukup ruangan gimana sih tolong diperbaiki dulu
negatif;udah gak kayak dulu sekarang gak semua hp bisa ganti baground
negatif;kecilin mb nya dan kenapa si gak isa ku download kalo masalah penyimpanan udah kulonggarin banyak banget loh buat download apps ini tapi masih gak isa ajaaa tolong ya diperhatikan pesan tsb
positif;baik sy menggunakan zoom selama ini lncar tanpa kendala yg berarti
positif;ini aplikasi yang memudahkan kita untuk belajar secara online dengan kecanggihan teknologi belajar tidak harus di bangku kuliah tapi bisa secara online dari rumah
positif;fasilitas lengkap suara clear sangat mendukung kegiatan pertemuan online
negatif;yaallah tolong kembalikan uang saya tiba tiba ketarik otomatis di akun dana saya senilai itu sepertinya tidak sengaja kepencet fitur langganannya saya mohon kembalikan uang saya saya sangat membutuhkannya
negatif;saya lagi perlu bgt ini tapi kenapa pas mau daftar ga bisa bisa di tahun lahir nya salah trus mau saya jawab pun salah apa sih mau nya ini saya lagi butuh bgt malah di persulit aneh
negatif;udah kaya aplikasi amatiran udah tahun bisa nya beground masih di batasi di hp tertentu
netral;untuk fitur kamera depan nya sangat bagus di hp iphone pro max saya
positif;sangat membantu efektif dan efisien untuk perkuliahan ataupun rapat
negatif;saya mendownload sudah kali unduh tapi malah pas udah ga bisa terus malah mulai ulang sedangkan memori masih ada tidak penuh tolong di atur lagi sistemnya
negatif;worse meeting app ever created maksa update sering banget telat zoom gara gara updatenya lama ga versi hp ga versi pc sama aja di tawari solusi pake versi web tapi tiap kali mau masuk zoomnya harus verifikasi ke aplikasi yg lagi di update sampah bgt sistemnya
negatif;berulang kali install quota berkurang tapi tak bisa masuk joint meeting
negatif;apk ngga jelas kaga bisa masuk walaupun sudah masuk dan mengganti pasword tetap tidak bisa
negatif;maaf ya tolong ada fitur layar belakang kalau kita mau zoom tolong diadain aku tunggu tanggal mei aku tunggu fitur ini latar belakang
positif;memori full tapi tetap tidak mau terupdate
negatif;mohon kerja sama nya massa saya buat link zoom tidak bisa muncul saat berbagi ke teman
negatif;kalau masuk breakout room selalu gagal percobaan masuk yg ketiga baru berhasil sinyal ok tetapi saya dimarahi bos saya gara gara keluar masuk please support team build this app better
negatif;nyebelin padahal penyimpanan masih lumayan sekitar gb lagi eh apk zoom nya malah gagal terus di install nya apa yang salah sih
negatif;bintang aja krn mau updet tiba berhenti da ga bs di apa in
negatif;daftar akunnya susah sampe berulang ulang
negatif;zoom tidak bisa di gunakan karena minta update ke versi tapi pada saat di klik update di playstorenya tidak terdapat update sehingga aplikasi zoom sama sekalitidak dapat digunakan sebabaimana mestinya
positif;tanpa zoom kami tak bisa ketemu banyak teman saudara bankan diseluruh dunia dan yg terutama kami bisa berbakti kpd tuhan utk kekuatan iman kami t ksh benar sekali
positif;aplikasi ini sangat membantu
positif;sangat membantu dalam pekerjaan saya
positif;sangat memudahkan dlm berkordinasi dg org lain
netral;dalam bulan terlalu banyak update akan lebih baik sebelum di luncurkan di playstore aplikasi test terlebih dahulu
netral;versi sekarang tidak bisa menampilkan virtual background kah
netral;untuk sementara saya masih bingung
negatif;udah di perbarui masih gak bisa virtual backgroundnya padahal hpku mampu
negatif;untuk background gk bisa dipakai di hp
positif;pakai zoom sdh tahun lancar saja tp setelah pembaruan versi jadi gagal terus masuk ke zoom jaringan hanya berputar saja syukur setelah aplikasi diupdate dan ada pilihan solusi skrg bisa kembali masuk ke link zoom nya dgn lancar tksh
negatif;apk nya gabisa di download padahal jaringan kuat gada bermasalah ini admin zoom nya gada yang baca ulasan kali ya makanya banyak yang ngeluh
positif;membantu melancarkan proses edukasi lebih hemat goof
negatif;tolong kembalikan fitur background virtual di handphone khususnya untuk pengguna android
negatif;keluar aplikasi langsung out meeting aneh
positif;tidak ada kendala yang berarti selama menggunakan aplikasi ini
negatif;sekarang suka bermasalah bagian suaranya padahal hpnya ga kenapa napa
negatif;udah hari gabisa login ataupun join zoom selalu disuruh cek koneksi mulu padahal rapat sama kelas numpuk banget udah lapor masalah tapi belum ada tanggapan
negatif;kak admin ini zoom saya error kak ada tulisan pastikan anda terhubung internet dan koneksi anda ke zoom tidak diblokir oleh firewall atau proksi apa yang harus di lakukan saya sudah mencoba pakai wifi kakak saya bisa join tetapi jika pakai wifi mama saya dan paket data saya sendiri tidak bisa apa yang harus di lakukan jika ingin zoom kembali normal bisa memakai data sendiri
negatif;saya tidak pernah bisa memakai background mic dan cam sering tiba hidup sendiri tolong diperbaiki saya merasa kurang nyaman menggunakan aplikasi ini
negatif;bisa gk sih kl baru join gausah otomatis on suara nyusahin aja berisik belum lagi kl pas ad yg ngomong aneh yg ga seharusnya di forum harusnya semua auto off tanpa diatur fitur kalo pas baru join
negatif;sementara bintang satu dulu soalnya fitur latar belakang efek tidak bisa di ubah di hp oppo a fitur layar belakang efek tidak tampil jika nanti bisa seperti yang lainnya nanti tak ubah ke bintang lima terima kasih
positif;mantap sangat membantu
negatif;disuruh masuk terus padahal udah login x parah banget bug pas dibutuhin
negatif;woi tolonglah bug nya hilangin masak pas layar dimatiin mikrofon nya aktif sendiri gk sekali dua kli lo
negatif;tolong sediakan riwayat join dan keluar saat meeting bagi semua pengguna bukan hanya host atau akun premium hari tanggal dan jam untuk menghindari kebohongan dari si pemegang riwayat memalsukan data dikarenakan saya sebagai pengguna biasa tak bisa melihat riwayat secara mandiri sangat disayangkan
negatif;verifikasi salah mulu taik minimal di perbaki nyusahin orang mau belajar
negatif;tidak bisa login
negatif;saya tidak bisa login tolong dg
negatif;masih suka susah buat login akunnya kadang bisa kadang kagak jadi mohon lebih di perbaiki lagi
negatif;sdh dipulihkan tp tdk bs d install kenapa padahal memori kosong ada mb lebih apa msh gk cukup sy sdh coba bbrp kali tp hasilnya sama tdk bs diinstall tolong perbaiki lg app nya sampai skrg sy belum bs memulihkannya lg ke versi terbaru
negatif;saya pake samsung tab s ga bisa backgraund mohon segera update
negatif;tolong update dong untuk fitur virtual background agar bisa dipakai di berbagai jenis hp laptop karena saat ini hanya bisa di beberapa hp saja aplikasi lain seperti wa saja bisa menggunakan virtual background
positif;bagus dari sisi visual informatif dan komunikasi dua arah
positif;memudahkan koordinasi
negatif;kenapa waktu disuruh change account ke premium malah error udah bayar padahal dan udh lapor ga ada tanggapan tolong dev zoom
negatif;tidak ada ganti background nya
negatif;tolong dong kembalikan uang saya tiba tiba di tarik ribu dari dana padahal saya tidak ada menggunakan dan memakai apk zoom ini apalagi langganan apasih maksud aplikasi ini apk kontoll tidak digunakan malah menarik uang orang tanggung jawapi
negatif;semakin buruk aplikasi ini semakin diperbarui semakin banyak bug dan trouble dan sering keluar sendiri padahal jaringan internet lancar dan device saya sangat cukup untuk menjalan aplikasi lain yang lebih berat dari zoom ini
positif;sangat membantu untuk kerja
negatif;tiba tiba tidak bisa connect zoom sementara sinyal saya lancar banget malah tolong kejelasannya yaa
negatif;kenapa sekarang sering error kesalahan aplikasi tidak bisa dipakai tolong bisa diperbaiki
negatif;gabisa kasih background di hp
positif;bagus untuk meeting jarak jauh
netral;mohon untuk admin workplace di periksa ulang kenapa banyak modus baru free instal harus bayar ke aplikasi ovo padahal belum pernah di pakai baru instal isi data jangan instal lagi
negatif;tidak bisa login karena tidak dapat daftar saat ini coba perbaiki lah
negatif;tolong dong zoom kasih kejelasan dan pertanggungjawaban kenapa aplikasi dana saya kirim uang juta ke zoom padahal saya tidak berlangganan zoom dan sebelum nya hal ini tidak pernah terjadi ini nominal uang yang besar uang ini untuk saya bayar kuliah zoom tolong pengertian nya kenapa saldo dana saya tersedot tanpa pemberitahuan tolong kembalikan uang saya
positif;puass sangat bermanfaat
negatif;tidak bisa mengganti background zoom nya min kasih tau caranya dong
negatif;min tambahin fitur bisa pake background di hp masa cuma hp ip aja yang bisa biar memudahkan ketika lagi di jalan ga sempat buka laptop jadi bisa menggunakan nya
netral;ga ada yang sempurna semua yang di ciptakan punya kekurangan
negatif;akun lama gak bisa di pakai keterangan email sering digunakan apk payah
negatif;plisss backgroundnya lebih dipermudah untuk semua android masa tabnya udh pro tpi sebatas gunkn background aja ga bisa
negatif;kode error mulu di device android gimana penyelesaian nya kocak
negatif;di install berulang kali gk bisa muter terus pdhal sinyal gk terganggu mohon di betulkan aplikasinya matur nuwun
negatif;saya ketinggalan kelas online karena tidak bisa masuk kelas dengan alasan sinyal padahal sinyal lancar saat nonton youtube dan lainnya
negatif;app ga jelas bikin akun aja di kasi ribet udah masukin kode yang sesuai di email di bilang salah
negatif;ukuran aplikasi terlalu besar terkadang membuat device kami bermasalah dan arus data juga terlalu booros
positif;lebih mantap dan lebih gasfull
positif;aplikasi ini sangat mempermudah bagi pengguna jadi kita bisa bertemu banyak orang dari jarak jauh semoga devolpernya bisa terus mengembangkan aplikasi ini dengan fitur yang lebih mudah dipahami
negatif;tolong kejelasannya dong min masa gabisa masuk zoom dengan kode kesalahan padahal kuota internet saya lancar dan masi banyak tapi giliran pakai wifi malah bisa gajelas
negatif;masa gak ada virtual background di tab samsung aneh banget
negatif;jadi sulit terhubung dengan data seluler
negatif;anj lah g bisa gunain background di samsung m g
netral;semoga dengan versi yang terbaru ini zoom workplace bisa membantu semua aktifitas saya
positif;pilihan pertama untuk pertemuan onlen
negatif;ga bisa mode dekstop dan gaak bisa masukan begron dari galeri
negatif;sayang g bisa ganti background di hp aplikasi mah bagus
positif;zoom sangat bagus walsupun sinyal kadang kadang mengganggu tapi secara umum komunikasi lewat zoom ini sangat bagus
negatif;baru kali ini zoom gak bisa di minimized tolong perbaiki lah
negatif;knapa ganti background dari hape gak bisa tdk ada pilihan buka d galeri
positif;sangat membantu dan banyak bermanfaat
negatif;sangat susah di download sudah hapus data hapus beberapa aplikasi vidio dll tetap aja tidak bisa
negatif;tolong dong zom sy diperbaharui knp tiap kli meeting zom sy tdk bisa digunakan
negatif;tolong dong bikin zoom versi lite gagal terus ni unduh aplikasinya karena penyimpanan belum memadai sudah saya kurangi penyimpanan hingga berkurang cukup banyak pas awal mau ngunduh sampek abistu loading nginstal tapi di akhir tidak dapat menginstall zoom apalahhh dah berkali ini
negatif;tolong tambahkan fitur virtual background agar kami bisa mengganti background saat memulai rapat melalui zoom hp
negatif;tolong dong kejelasanya mimin zoom saldo saya di dana tiba tiba kepotong untuk berlangganan padahal saya tidak pernah berlangganan di apk ini mohon kembalikan uang saya yang terpotong otomatis karna tiba tiba tidak ada pemberitahuan kepada saya dan saya tidak merasa berlangganan tolong mimin kembalikan butuh uang itu
positif;sangat membantu untuk pertemuan dan pembelajaran daring
negatif;microphone selalu on padahal sudah dibisukan
negatif;tidak ada fitur baground online nya
negatif;aplikasi tidak bisa di instal versi android tolong diperbaiki
negatif;tolong di tingkatkan fitur latar belakang untuk semua hp androit
negatif;apk sampah gak bisa ganti vb udah ganti hp devices pun dengan spek memadai so auto uninstal
negatif;entah mengapa sering crash di android terbaru gmeet dan ms teems aman
negatif;kok di saya gada fitur background nya ya
negatif;yth developer zoom please yak tolong dong di tambahkan fitur berlangganan mingguan atau harian atau langganan per hari sy rasa fitur bln an dan thn an kurang relevan bagi kami yg hanya memerlukan kegiatan meeting harian mingguan apalagi harga bln an berkisar rb an walaupun tergolong murah tp kami sangat menyayangkan waktu yg terbuang apalagi tdk di gunakan untuk keperluan meeting bulanan so sy harap ada layanan tsb dan sy jamin aplikasi kalian bakal top klo ada fitur tsb thx ya
negatif;ga bisa pake background hiks
negatif;suara dan gambar bagus walaupun agak repot ketika harus menghafal password dan lain lain ketika mau login
negatif;saat di rekam tidak ada suara
negatif;burukkk gak bisa zoom saya
positif;menghantarkan yg jauh menjadi dekat lewat zoom
negatif;sayang sekali background virtualnya tidak bisa harusnya bisa digunakan untuk semua hp android jangan hanya tertentu saja semoga bisa dipahami oleh pihak zoom
negatif;link zoom tak bisa diakses
negatif;tidak bisa ganti backgroundnya
negatif;terdengar jelas tp putus mgkn sinyal klo gambar wajah teman suka kusut
negatif;saya ndk bisa masuk mohon di perbaiki bug yang ada
negatif;bljirr lama kali gue dowld nya bngke gue udh kli dolwd ttp aja gabisa
positif;sangat membatu kegiatan kerja terima kasih
negatif;suka keluar masuk
negatif;lag terus saya ngga bisa on mic dan on cam tolong diperbaiki jelek kalo begini terus
positif;sangat bagus sebagai dalam komunikasi meeting
negatif;download nya lama bgt saya mau ada zoom untuk keperluan sekolah jdi terganggu bgt
negatif;ini dulu sudah bagus tapi kenapa sekarang malah layar guru saya jadi hijau ya
negatif;tidak bisa memilih undangan melalui copy ke papan klip copy link undangan tidak sesuai dan tidak menampilkan link rapat tidak menemukan menu memberi izin share screen
positif;bagus dan keren
negatif;ketika saya mau membuat link zoom linknya tidak seperti biasa dan tidak bisa membuat orang lain join
positif;sangat membantu an memudahkan kegiatan
negatif;klik gabungrapaturl untuk memulai atau bergabung ke rapat zoom yang dijadwalkan setiap kali copy link dari hp pasti kaya gini semenjak update zoom makin ngaco fiturnya jg jadi engga nyaman aneh banyak yg dirubah
netral;apk ribet hp gw ga bisa virtual background masa harus ganti hp supaya bisa pake virtual background hadehhhh tolong dibenerin lagi apk nya kasian orang yg hp nya ga bisa pake virtual background
negatif;virtual background nya tidak bisa di pakai di vivo lite
negatif;udh masukin tahun yg benar ga bisa giliran ngasal harus valid mau nya apa sih ni apk
negatif;gabisa blur dan background
negatif;mahal banget dah gb penyimpananya butuddd buttuuuudddddd
negatif;sudah jam saya unduh ini tapi tetap gak bisa tertunda terus tolong dong penanganannya butuh banget ini soalnya
negatif;bagi saya aplikasi ini harus lebih ditingkatkan lagi karena apa karena saya ini mau menggunakan fitur layar latar belakang tetapi tidak bisa padahal handphone yang saya gunakan ini sudah sesuai dengan persyaratanya mohon diperbaiki lagi semoga ini membantu
positif;sudah lama menikmati kemudahan dari zoom
positif;meeting menggunakan aplikasi zoom meeting jadi lebih mudah dan praktis
negatif;background dan efek ga bekerja dengan baik
positif;sangat membantu sekali
negatif;aplikasi rusak nda ada masalah malah terblokir nda bisa masuk aplikasi sampah
positif;zoom ini sangat membantu banget
negatif;kenapa pada saat zoom pake hp sya ingin memasang vb itu tidak ada padahal kemarin itu ada ini gimana tolong perbaiki segera
negatif;tidak bisa menggunakan virtual background support device android tidak mendukung dan itu sangat mengecewakan
negatif;ada yang sama tidak bisa membagikan link zoomnya malah jadi seperti ini gabungrapaturl
netral;saya sebelumnya bekerja di berbagai pertambangan dan saya tertarik dengan program ini
negatif;pas mau masuk ke akun kode verifikasi salah padahal udah bener mohon dibenerin
negatif;aplikasi sampah makin lama makin ngawur masa iya background nya gak bisa diganti paling cocok sih gak dikasih bintang
negatif;di perangkat saya aolikasi ini tidak bisa untuk menampilkan virtual background
negatif;kesulitan untuk mengubah latar background error terus dari dulu tidak ada perubahan
negatif;tidak bisa menambahkan virtual background padahal sudah up ke versi lebih tinggi
negatif;gagal terus saat masukkan kode verifikasi padahal kode yang di kirim via email yang di input sudah benar
negatif;susah di donlowad samapai beberapa aplikasi saya hapus pun tetap tidak bisa
negatif;kenapa ya aplikasinya selalu eror ketika dipakai selalu keluar sendiri proses belajar saya menjadi terganggu untuk developer dimohon kebijakannya
netral;sungguh sangat bermanfaat ilmunya dan menenangkan pikiran dan perasaan baarokallooh
positif;terimakasih dengan adanya aplikasi ini sangat membantu saya secara online dengan sesama rekan kerja yang jauh jauh
negatif;saya selalu kesulitan untuk copy link tautan undangan keluarnya sering seperti berikut gabungrapaturl dan saya tidak menemukan jawaban yang mengatasi masalah tersebut
positif;bagus sangat membantu untuk bisa bertemu dengan teman teman dari jarak jauh terimakasih zoom
negatif;error se x padahal udh beberapa x instal tetap gk bisa di buka
negatif;bagus hanya tidak bisa ganti background
negatif;aplikasi sering eror pas lagi harus bangat pake aplikasi ini
negatif;loading lama saat zoom selesai masih saja nyangkut dan tidak bisa keluar
negatif;akhir akhir ini zoom susah digunakan masa setiap mau masuk rapat menggunakan wi fi sinyalnya gangguan mulu padahal kalo buka apk lain lamcar aja haduhhhh tolong dong di benerin
positif;efisien waktu tempat yang penting ada wifi
netral;apk zoom tdk bisa mengubah background disaat zoom sedang berlangsung
positif;keren dan membantu untuk rapat dan belajar online
negatif;susah banget untuk di download padahal penyimpanan ruang masih banyak
negatif;hp saya oppo a versi android dn sudah update zoom terbaru saat sy kirim komentar ini tp tidak bisa menggunakan virtual background kenapa ya kok makin nyeleneh ad yg tau mohon info
negatif;tapi tolong bantu perbaiki lagi soalnya ketika terjadi pelajaran online atau meting tiba tiba keluar sendiri tolong bantu tindak lanjuti komentar saya
positif;apk yg bisa membantu dan memberikan pelayanan yang terbaik sukses selalu
negatif;perangkat saya tidak dapat menampilkan background video
positif;simpel praktis dan sangat membantu
negatif;saat zoom tiba keluar dari zoom secara terus menerus
negatif;mengapa saya tidak bisa menginstal aplikasi ini padahal ada interview kerja melalui zoom ini
negatif;background di zoom tidak mendukung
positif;sangat membantu sekali sangat membantu sekali
netral;bagus cm d tambah lagi fiturnya
negatif;ketika login pake komputer udah bener akun gmail serta passwordnya tapi tetep gabisa login pas login di hp bisa login dan sudah sampai tahap dikirimkan kode verifikasi tapi pas masukin kodenya malah kode kadaluarsa jadi intinya sy tetap gabisa login baik dari hp maupun komputer tolong dibenahi
negatif;update sekarang sulit ganti bacground di hp android saya coba erpr terus sama cara ganti backgroun tidak bisa di ambil di galeri hp adanya pilihan refres
negatif;di versi ini gambar terbalik saat perangkat di mode landscape mohon diperbaiki android oreo
negatif;susah sekali mau ganti vb dan photo profil saat meeting hufffttttt
positif;sangat membantu komunikasi secara profesional
netral;bagus lebih di tingkatkan kejelasan dan kejelasan suara
negatif;kenapa giliran mau daftar gak bisa padahal sudah pakai tanggal lahir yang tepat malah di bilang anda tidak bisa daftar sekarang aneh banget
negatif;aplikasi terlalu berat hp auto lemot
negatif;koneksi bagus penyimpanan ga penuh tapi keluar masuk keluar masuk gajelas at least kasi alasan notif kenapa kok keluar keluar sendiri ada masalah dimananya biar aku benerin dari dulu udah sabar sama ni aplikasi
negatif;tidak bisa pakai virtual background sgt mengecewakan
positif;kegiatan yang dilakukan secara langsung agar info dapat berlangsung dengan cepat dan akurat
negatif;tolong biar bisa virtual background dong masak wa aja bisa
negatif;masih kurang dalam sinyal suara
positif;respon nya cepat layanan sangat baik sekali
negatif;susah bet dah masukin akun semuanya error padahal normalnya akun email juga udha benar malah di bilang password atau email anda salah capek dah aku
positif;sangat terbantu dengan komunikasi dengan banyak relasi
negatif;ga bisa pakai virtual background di mobile
negatif;saya sudah perpanjang langganan versi pro selama setahun namun paket zoom saya msh tetap free gratis dan saya sudah membuat laporan belum ditanggapi hingga saat ini
negatif;jaringan lemah untuk wilayah serdang jaya dan sekitarnya
positif;sangat bagus dibuat komunikasi
netral;sering ikut acara zoom meeting ttg perkembangan pembangunan nasional
positif;alhamdulillaah melalui aplikasizoom ini saya bisa bertatap muka langsung dengan guru saya
negatif;jelek aplikasinya berat suka muter muter
negatif;aplikasi ampas dungu lebih bagus google meet ganti background aja hp harus spek dewa dulu baru bisa wwwkwkwwwkwkwkwwk
negatif;ga bisa ganti background padahl hp samsung a emang harus yg spek apa hpnya
negatif;ketika di hp android tidak bisa menambahkan background padahal hp samsung tapi tidak bisa buat nambahin background
negatif;kenapa zoom pro tidak ada lagi di aplikasi zoom sehingga untuk beli zoom pro untuk pertahun tidak bisa kalo dulu zoom pro ada di aplikasinya namun sekarang tidak lagi masih dalam zoom dasar mohon kedepan ditingkatkan lagi sehingga bisa beli aplikasi zoom meeting terima kasih
positif;sangat membantu dalam proses pembelajaran online
netral;sebelumnya si ho yang sama masih enak bisa pake background setelah update malah jadi ga bisa
negatif;klo bleh buatkan update untuk akses background blur smntara meeting pke tablet tapi software meeting nya tidak bisa akses semua fitur hadehhh
negatif;mau masuk gabisa samsek login udh masukin kode verifikasi gabisa padahal udah bener tulisannya pasti kode verifikasi anda salah padahal dr email ud bener mohon bantuannya terima kasih
negatif;ya allah kembalikan uangku yang kepotong di dana secara otomatis aku ngga ada niatan buat berlangganan ku pikir nanti ada pemberitahuan dulu sebelum di potong di dana pliisss aku lagi butuh uang itu mohon tanggapannya
negatif;saya sudah beberapa kaliii menginstal aplikasi zoom tetapi tetap tidak bisa sudah mencoba segala cara mulai dari update play store sampai hapus aplikasi lainn tapi tetap tidak bisa ter installll mohonn bantuannya nanti saya kasih bintang kalau bisa terinstal kembali
negatif;gak suport zoom utk virtual background di versi galaxy tab a
negatif;bisa membantu kita melaksanakan meeting online namun di sini fitur latar belakang di zoom tidak muncul pada hal hp yg saya gunakan sudah sesuai dengan persyaratan
negatif;tidak bisa ganti backround virtual backround tidak bisa digunakan
negatif;sementara zoom jaringan terputus kurang menyimak baik
negatif;saya edit tulisan saya zoom ada aplikasi terburuk yang pernah saya install sangat buruk sangat jelekk sangat tidak kreatif sangat buruk tidak memiliki sisi positifsama sekali
negatif;susah ganti background dan gak ada caranya untuk ganti background tolong jangan mempersulit
negatif;jelek gak bisa di instal padahal udah cukup memori nya sama udh di bersihkan gak usah download app ini kalau gak mau nyesel
negatif;untuk samsung tab a tidak bisa ganti background
